Company_Name,Rating,Industry_Type,Headquater_other_Locations,Total Reviews,AvgSalaries,Total_Interviews,Total_Jobs,Total_Benifits,Total_Photos
Haier Appliances India,4.0,Consumer Electronics & Appliances,Pune +116 other locations,1.4k,6.4k,120,23,187,5
Infinx,4.1,Software Product,Hyderabad / Secunderabad +30 other locations,1.4k,4.5k,183,18,88,--
Motherson Automotive Technologies and Engineering,3.8,Auto Components,Chennai +59 other locations,1.4k,6.8k,111,9,172,1
Chegg,4.1,EdTech,New Delhi +63 other locations,1.4k,3.9k,154,16,95,--
Metro Cash & Carry,4.1,Retail,Bangalore / Bengaluru +84 other locations,1.4k,4.9k,57,--,173,6
Altruist Technologies,3.1,BPO,Bangalore / Bengaluru +39 other locations,1.4k,7.4k,126,3,86,2
Reckitt Benckiser,4.0,FMCG,Gurgaon / Gurugram +114 other locations,1.4k,6k,86,22,181,3
DHL Supply Chain,4.2,Logistics,Mumbai +80 other locations,1.4k,5.4k,80,19,153,12
USV,4.0,Unknown,Mumbai +95 other locations,1.4k,5.2k,71,21,185,--
Dainik Bhaskar Group,4.4,Printing & Publishing,Bhopal +141 other locations,1.4k,4.4k,56,60,160,1
USHA International,4.1,Consumer Electronics & Appliances,Gurgaon / Gurugram +123 other locations,1.4k,4.7k,87,15,165,13
Jindal Saw,4.0,Iron & Steel,Mundra +67 other locations,1.4k,6k,97,1,201,3
CMA CGM,3.9,Ports & Shipping,Chennai +27 other locations,1.4k,8.2k,91,13,234,9
Tata Communications Transformation Services,4.0,Telecom,Pune +86 other locations,1.4k,8.3k,80,--,183,1
Foxconn,3.9,Electronics Manufacturing,Chennai +45 other locations,1.4k,7.6k,146,30,224,3
Aadhar Housing Finance,4.1,Financial Services,Mumbai +277 other locations,1.4k,4.1k,87,4,106,6
FactSet,3.9,Financial Services,Hyderabad / Secunderabad +16 other locations,1.4k,9.2k,207,44,223,26
HTC Global Services,3.6,IT Services & Consulting,Chennai +27 other locations,1.4k,11.5k,131,67,118,--
BT Business,4.1,Hardware & Networking,Gurgaon / Gurugram +10 other locations,1.4k,8.9k,77,--,287,--
PHN Technology,4.5,Unknown,Pune +30 other locations,1.4k,299,29,12,25,3
Exela Technologies,3.3,IT Services & Consulting,Chennai +20 other locations,1.4k,7.7k,77,16,81,--
Wockhardt,3.9,Pharma,Aurangabad +78 other locations,1.4k,4.4k,51,7,186,--
KONE,4.2,Industrial Machinery,Chennai +65 other locations,1.4k,5.4k,99,34,200,25
First American Corporation,3.6,Insurance,Bangalore / Bengaluru +16 other locations,1.4k,8.3k,74,35,163,--
Tata Power,3.9,Power,Mumbai +129 other locations,1.4k,6.5k,160,14,127,11
HERE Technologies,3.9,IT Services & Consulting,Mumbai +14 other locations,1.4k,7.3k,86,34,299,--
Cavinkare,4.0,FMCG,Chennai +157 other locations,1.4k,4.8k,55,2,147,--
DHL Express,4.1,Logistics,Mumbai +88 other locations,1.4k,6.1k,61,5,182,1
Johnson & Johnson,4.1,Unknown,Mumbai +150 other locations,1.4k,5.9k,93,7,198,9
Manipal Hospitals,4.2,Healthcare,Bangalore / Bengaluru +61 other locations,1.3k,5.6k,80,69,144,4
XL Dynamics,3.2,IT Services & Consulting,Mumbai +28 other locations,1.3k,3.4k,106,6,215,--
DIVI'S Laboratories,3.8,Pharma,Visakhapatnam +27 other locations,1.3k,6.3k,71,--,184,--
Verizon,4.1,Telecom,Hyderabad / Secunderabad +9 other locations,1.3k,10.4k,112,143,215,5
EPAM Systems,3.8,IT Services & Consulting,Hyderabad / Secunderabad +22 other locations,1.3k,13.4k,534,866,150,7
Newgen Software Technologies,3.7,IT Services & Consulting,Noida +28 other locations,1.3k,10.4k,183,19,183,8
Isgec Heavy Engineering,3.8,Industrial Machinery,Noida +77 other locations,1.3k,6.6k,114,21,147,166
Arvind Group,4.0,Fashion & Textile,Ahmedabad +83 other locations,1.3k,5.4k,61,2,301,6
Procter & Gamble,4.2,FMCG,Mumbai +224 other locations,1.3k,5.5k,113,16,173,2
Hindustan Petroleum,4.2,Oil & Gas,Mumbai +213 other locations,1.3k,5.6k,97,--,156,5
Mother Dairy Fruit & Vegetable,4.1,Food Processing,New Delhi +117 other locations,1.3k,4.6k,71,1,162,3
Yamaha Motor,4.2,Automobile,Chennai +135 other locations,1.3k,5.3k,64,27,187,4
HighRadius,2.9,FinTech,Hyderabad / Secunderabad +13 other locations,1.3k,7.1k,181,59,99,13
Orange Business,4.3,IT Services & Consulting,Gurgaon / Gurugram +47 other locations,1.3k,8.8k,96,71,259,--
Polycab Wires,4.0,Electrical Equipment,Vadodara +134 other locations,1.3k,6.1k,91,44,97,7
Jio Platforms,3.5,IT Services & Consulting,Mumbai +80 other locations,1.3k,9.7k,192,--,81,--
Trent,4.0,Retail,Mumbai +117 other locations,1.3k,3.9k,74,22,137,3
Spinny,3.7,Internet,Gurgaon / Gurugram +47 other locations,1.3k,6k,165,9,109,--
HDFC Securities,3.6,Unknown,Mumbai +170 other locations,1.3k,5.6k,102,47,139,5
Tata Group,4.2,IT Services & Consulting,Mumbai +163 other locations,1.3k,5.4k,358,1,118,2
Shadowfax Technologies,3.6,Logistics,Bangalore / Bengaluru +184 other locations,1.3k,5.8k,115,10,85,16
Sheenlac Paints,4.5,Chemicals,Chennai +157 other locations,1.3k,1.6k,203,--,61,130
Honeywell Technology Solutions,3.8,Defence & Aerospace,Bangalore / Bengaluru +19 other locations,1.3k,11.9k,149,254,217,--
Oracle Cerner,3.7,Software Product,Bangalore / Bengaluru +6 other locations,1.3k,10.7k,157,--,270,1
Bata,3.7,Fashion & Textile,Gurgaon / Gurugram +132 other locations,1.3k,4k,59,6,121,9
Big Bazaar,4.3,Retail,New Delhi +157 other locations,1.3k,3.6k,43,--,195,1
Relaxo Footwear,4.2,Fashion & Textile,New Delhi +136 other locations,1.3k,4.2k,81,45,151,2
Medanta the Medicity,4.1,Unknown,Gurgaon / Gurugram +36 other locations,1.3k,4.6k,92,58,152,4
Vardhman Fabrics,4.0,Fashion & Textile,Baddi +51 other locations,1.3k,5.1k,60,26,158,2
Security and Intelligence Services (India),4.2,Law Enforcement & Security,New Delhi +167 other locations,1.3k,4.1k,55,295,144,7
AkzoNobel,4.1,Chemicals,Pune +137 other locations,1.3k,4k,62,9,143,46
