Company_Name,Rating,Industry_Type,Headquater_other_Locations,Total Reviews,AvgSalaries,Total_Interviews,Total_Jobs,Total_Benifits,Total_Photos
eClerx,3.3,IT Services & Consulting,Pune +23 other locations,4.9k,28.6k,505,61,614,22
Omega Healthcare,3.8,BPO,Bangalore / Bengaluru +56 other locations,4.8k,22.7k,428,77,427,18
Bajaj Allianz Life Insurance,4.0,Insurance,Pune +540 other locations,4.7k,15.5k,319,46,506,17
JLL,4.1,Real Estate,Gurgaon / Gurugram +72 other locations,4.7k,21k,343,245,577,19
L&T Technology Services,3.3,IT Services & Consulting,Bangalore / Bengaluru +70 other locations,4.7k,38.6k,530,552,472,10
Aurobindo Pharma,4.0,Pharma,Hyderabad / Secunderabad +95 other locations,4.7k,21.5k,234,8,508,9
Indiamart Intermesh,3.6,Internet,Noida +149 other locations,4.7k,18.9k,595,261,467,13
Shapoorji Pallonji Group,4.1,Engineering & Construction,Mumbai +180 other locations,4.6k,15k,326,42,664,13
Coforge,3.3,IT Services & Consulting,Noida +93 other locations,4.6k,40.6k,514,305,351,102
Virtusa Consulting Services,3.8,IT Services & Consulting,Hyderabad / Secunderabad +44 other locations,4.6k,52.2k,570,1,353,16
Siemens,4.1,Industrial Automation,Bangalore / Bengaluru +140 other locations,4.6k,30.2k,428,607,691,13
HSBC Group,4.0,Financial Services,Bangalore / Bengaluru +56 other locations,4.6k,36k,490,189,1.2k,5
Firstsource Solutions,3.7,BPO,Bangalore / Bengaluru +58 other locations,4.5k,22k,289,126,621,16
Apollo Hospitals,4.1,Healthcare,Chennai +199 other locations,4.5k,15.9k,337,37,534,2
Standard Chartered,3.8,Banking,Chennai +63 other locations,4.4k,39.1k,268,--,349,--
DMart,3.9,Retail,Mumbai +221 other locations,4.4k,15.3k,395,163,496,14
Ashok Leyland,4.1,Automobile,Chennai +223 other locations,4.4k,18.3k,236,1,684,12
BigBasket,3.9,Internet,Bangalore / Bengaluru +122 other locations,4.4k,17.1k,350,22,404,27
CGI Group,4.0,IT Services & Consulting,Bangalore / Bengaluru +33 other locations,4.4k,42.4k,484,168,445,4
ICICI Lombard General Insurance Company,3.7,Insurance,Mumbai +277 other locations,4.4k,18.6k,269,129,388,15
Cyient,3.7,IT Services & Consulting,Hyderabad / Secunderabad +40 other locations,4.4k,26.3k,282,259,505,3
GlobalLogic,3.7,IT Services & Consulting,Hyderabad / Secunderabad +46 other locations,4.4k,35.2k,579,189,577,19
JustDial,3.5,Internet,Noida +192 other locations,4.3k,15k,328,32,395,8
Cholamandalam Investment & Finance,4.0,Financial Services,Chennai +713 other locations,4.3k,11.2k,176,21,318,36
Hero MotoCorp,4.2,Automobile,Gurgaon / Gurugram +327 other locations,4.3k,14.6k,328,--,623,9
Mahindra Finance,4.1,NBFC,Mumbai +666 other locations,4.3k,11.6k,147,33,524,7
Citicorp,3.7,Financial Services,Pune +62 other locations,4.3k,42.3k,563,2,564,6
Vivo,4.1,Consumer Electronics & Appliances,Noida +387 other locations,4.3k,13.4k,191,8,684,3
Bosch Global Software Technologies,4.0,IT Services & Consulting,Bangalore / Bengaluru +34 other locations,4.3k,35.8k,331,34,748,21
UST,3.8,IT Services & Consulting,Bangalore / Bengaluru +41 other locations,4.3k,35.8k,508,111,463,13
Home Credit Finance,4.1,NBFC,Gurgaon / Gurugram +120 other locations,4.3k,10.4k,112,58,648,4
Eviden,3.6,IT Services & Consulting,Pune +33 other locations,4.2k,29.2k,305,52,69,8
SMFG India Credit,4.0,NBFC,Mumbai +525 other locations,4.1k,10.6k,154,4,359,13
Manappuram Finance,3.9,NBFC,Bangalore / Bengaluru +548 other locations,4.1k,8k,144,39,275,16
OPPO,4.0,Consumer Electronics & Appliances,Noida +381 other locations,4.1k,12.4k,210,17,633,10
Nagarro,4.0,IT Services & Consulting,Gurgaon / Gurugram +40 other locations,4k,27k,776,257,1.2k,19
TVS Motor,4.0,Automobile,Hosur +296 other locations,4k,14.6k,307,27,565,8
Optum,4.0,Healthcare,Hyderabad / Secunderabad +37 other locations,4k,29.7k,418,61,581,4
SBI Cards & Payment Services,3.7,Financial Services,New Delhi +375 other locations,4k,16k,234,85,358,12
IQVIA,3.9,Clinical Research,Bangalore / Bengaluru +52 other locations,4k,27.6k,461,33,561,--
BNY,3.9,Financial Services,Pune +18 other locations,4k,28k,337,140,573,1
Swiggy,3.8,Internet,Bangalore / Bengaluru +201 other locations,4k,20.6k,428,187,380,14
Kalpataru Projects International,4.2,Engineering & Construction,Mumbai +271 other locations,3.9k,12.4k,229,2,218,17
Atos,3.9,IT Services & Consulting,Pune +47 other locations,3.9k,27.8k,367,44,494,10
Amdocs,3.8,Software Product,Pune +18 other locations,3.9k,34.6k,532,175,705,20
CBRE,4.2,Real Estate,Hyderabad / Secunderabad +80 other locations,3.8k,16.7k,255,57,491,18
Persistent Systems,3.5,IT Services & Consulting,Pune +37 other locations,3.8k,37.2k,610,157,433,22
State Bank of India,3.8,Banking,Mumbai +528 other locations,3.8k,10.8k,240,--,423,3
Bosch,4.2,Auto Components,Bangalore / Bengaluru +108 other locations,3.8k,19.6k,334,311,654,17
Hewlett Packard Enterprise,4.2,IT Services & Consulting,Bangalore / Bengaluru +92 other locations,3.8k,26.9k,230,36,572,16
Hyundai Motor India Limited,4.3,Automobile,Chennai +275 other locations,3.7k,12.7k,254,5,556,23
SBI Life Insurance Company,3.8,Insurance,Mumbai +572 other locations,3.7k,11.1k,226,2,351,10
JBM Group,4.0,Auto Components,Gurgaon / Gurugram +94 other locations,3.7k,13.6k,256,38,408,21
Dell,4.0,Consumer Electronics & Appliances,Bangalore / Bengaluru +104 other locations,3.7k,26.8k,391,35,584,25
Schneider Electric,4.2,Industrial Automation,Bangalore / Bengaluru +111 other locations,3.7k,21.1k,357,436,497,11
NTT Data,3.9,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,3.7k,26.3k,603,222,198,7
Ecom Express,3.9,Logistics,Gurgaon / Gurugram +665 other locations,3.7k,8.9k,195,17,341,24
Marpu Foundation,4.8,Non-Profit,Hyderabad / Secunderabad +55 other locations,3.6k,46,62,--,184,3
ITC Infotech,3.8,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,3.6k,27.9k,331,60,343,8
KEC International,4.1,Engineering & Construction,Mumbai +277 other locations,3.6k,11.9k,290,1,460,42
Piramal Capital Housing Finance,4.2,NBFC,Mumbai +355 other locations,3.6k,9.1k,181,7,273,29
Nagarjuna Construction Company,4.1,Engineering & Construction,Hyderabad / Secunderabad +245 other locations,3.6k,10.8k,297,17,428,11
PolicyBazaar,3.6,Internet,Gurgaon / Gurugram +110 other locations,3.6k,14.5k,342,54,260,12
Aditya Birla Fashion and Retail,4.1,Fashion & Textile,Bangalore / Bengaluru +244 other locations,3.5k,12.3k,190,17,403,12
CARS24,3.6,Internet,Gurgaon / Gurugram +158 other locations,3.5k,14k,322,69,438,17
Oyo Rooms,3.3,Hospitality,Gurgaon / Gurugram +120 other locations,3.5k,20.9k,226,48,397,14
Varun Beverages,4.0,Beverage,New Delhi +318 other locations,3.5k,10.6k,221,58,340,26
Reliance Communications,4.0,Telecom,Mumbai +441 other locations,3.5k,11.2k,89,2,382,--
Bajaj Auto,3.9,Automobile,Pune +275 other locations,3.4k,13.4k,269,191,560,23
Randstad,3.8,Recruitment,Hyderabad / Secunderabad +287 other locations,3.4k,14.8k,258,84,347,7
EY Global Delivery Services ( EY GDS),3.6,Accounting & Auditing,Bangalore / Bengaluru +42 other locations,3.4k,31.5k,734,6,186,16
L&T Finance,3.9,NBFC,Mumbai +510 other locations,3.4k,11k,150,10,276,27
Deutsche Bank,3.9,Banking,Pune +39 other locations,3.3k,30.8k,365,753,431,79
Intas Pharmaceuticals,4.1,Pharma,Ahmedabad +129 other locations,3.3k,15.7k,199,21,429,9
Tata Communications,4.0,Telecom,Pune +94 other locations,3.3k,22.9k,245,37,451,13
John Deere,4.1,Industrial Machinery,Pune +123 other locations,3.3k,14.6k,225,4,445,11
Team Lease,3.9,Recruitment,Bangalore / Bengaluru +338 other locations,3.3k,15.3k,199,1,229,6
R1 RCM,3.9,BPO,New Delhi +37 other locations,3.3k,18.4k,274,84,395,18
Royal Enfield,4.2,Automobile,Chennai +331 other locations,3.3k,13.5k,149,11,417,35
Kogta Financial India Limited,4.7,NBFC,Jaipur +231 other locations,3.2k,1.6k,82,30,49,30
LG Electronics,4.0,Consumer Electronics & Appliances,Pune +269 other locations,3.2k,10.4k,190,--,434,12
Havells,4.0,Electrical Equipment,Noida +203 other locations,3.2k,13.2k,204,30,340,9
