Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
IIFL Finance,4,NBFC,Mumbai +721 other locations,14600,243,71,5100
Oracle,3.7,Software Product,Bangalore / Bengaluru +52 other locations,55500,897,1400,5100
Tata Projects,4.2,Engineering & Construction,Mumbai +253 other locations,20100,414,17,5100
Ekart Logistics,4,Retail,Bangalore / Bengaluru +662 other locations,13700,297,22,5000
Udaan,4,Internet,Bangalore / Bengaluru +345 other locations,17500,335,12,5000
Megha Engineering & Infrastructures,3.9,Engineering & Construction,Hyderabad / Secunderabad +336 other locations,16300,429,16,4900
Muthoot Finance,3.6,NBFC,Bangalore / Bengaluru +690 other locations,12400,251,67,4900
eClerx,3.3,IT Services & Consulting,Pune +23 other locations,28600,505,61,4900
Omega Healthcare,3.8,BPO,Bangalore / Bengaluru +56 other locations,22700,428,77,4800
Bajaj Allianz Life Insurance,4,Insurance,Pune +540 other locations,15500,319,46,4700
JLL,4.1,Real Estate,Gurgaon / Gurugram +72 other locations,21000,343,245,4700
L&T Technology Services,3.3,IT Services & Consulting,Bangalore / Bengaluru +70 other locations,38600,530,552,4700
Aurobindo Pharma,4,Pharma,Hyderabad / Secunderabad +95 other locations,21500,234,8,4700
Indiamart Intermesh,3.6,Internet,Noida +149 other locations,18900,595,261,4700
Shapoorji Pallonji Group,4.1,Engineering & Construction,Mumbai +180 other locations,15000,326,42,4600
Coforge,3.3,IT Services & Consulting,Noida +93 other locations,40600,514,305,4600
Virtusa Consulting Services,3.8,IT Services & Consulting,Hyderabad / Secunderabad +44 other locations,52200,570,1,4600
Siemens,4.1,Industrial Automation,Bangalore / Bengaluru +140 other locations,30200,428,607,4600
HSBC Group,4,Financial Services,Bangalore / Bengaluru +56 other locations,36000,490,189,4600
Firstsource Solutions,3.7,BPO,Bangalore / Bengaluru +58 other locations,22000,289,126,4500
Apollo Hospitals,4.1,Healthcare,Chennai +199 other locations,15900,337,37,4500
Standard Chartered,3.8,Banking,Chennai +63 other locations,39100,268,68,4400
DMart,3.9,Retail,Mumbai +221 other locations,15300,395,163,4400
Ashok Leyland,4.1,Automobile,Chennai +223 other locations,18300,236,1,4400
BigBasket,3.9,Internet,Bangalore / Bengaluru +122 other locations,17100,350,22,4400
CGI Group,4,IT Services & Consulting,Bangalore / Bengaluru +33 other locations,42400,484,168,4400
ICICI Lombard General Insurance Company,3.7,Insurance,Mumbai +277 other locations,18600,269,129,4400
Cyient,3.7,IT Services & Consulting,Hyderabad / Secunderabad +40 other locations,26300,282,259,4400
GlobalLogic,3.7,IT Services & Consulting,Hyderabad / Secunderabad +46 other locations,35200,579,189,4400
JustDial,3.5,Internet,Noida +192 other locations,15000,328,32,4300
Cholamandalam Investment & Finance,4,Financial Services,Chennai +713 other locations,11200,176,21,4300
Hero MotoCorp,4.2,Automobile,Gurgaon / Gurugram +327 other locations,14600,328,10.5,4300
Mahindra Finance,4.1,NBFC,Mumbai +666 other locations,11600,147,33,4300
Citicorp,3.7,Financial Services,Pune +62 other locations,42300,563,2,4300
Vivo,4.1,Consumer Electronics & Appliances,Noida +387 other locations,13400,191,8,4300
Bosch Global Software Technologies,4,IT Services & Consulting,Bangalore / Bengaluru +34 other locations,35800,331,34,4300
