Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
Mahindra Logistics,3.9,Logistics,Pune +142 other locations,8600,119,10,2100
Voltas,4,Consumer Electronics & Appliances,Mumbai +182 other locations,8200,126,5,2100
TVS Supply Chain Solutions,3.8,Logistics,Chennai +140 other locations,8200,129,3,2100
KFintech,3.5,IT Services & Consulting,Hyderabad / Secunderabad +104 other locations,10100,131,21,2100
Patanjali Ayurved,4,FMCG,Haridwar +267 other locations,6400,108,1,2100
Indus Towers,3.8,Hardware & Networking,Gurgaon / Gurugram +182 other locations,7800,173,36,2100
ZS,3.4,Management Consulting,Pune +14 other locations,16300,482,41,2100
Tata Elxsi,3.9,IT Services & Consulting,Bangalore / Bengaluru +27 other locations,18700,294,45,2100
Fortis Healthcare,4,Healthcare,New Delhi +63 other locations,7200,124,74,2100
Huawei Technologies,4,Telecom,Bangalore / Bengaluru +103 other locations,10100,114,50,2000
Dalmia Bharat Cement,4,Building Material,Chennai +220 other locations,8200,139,2,2000
ACT Fibernet,4,Telecom,Hyderabad / Secunderabad +48 other locations,7400,132,50,2000
Tractors and Farm Equipment,4.1,Industrial Machinery,Chennai +172 other locations,8100,101,6,2000
VVDN Technologies,3.6,IT Services & Consulting,Gurgaon / Gurugram +36 other locations,11500,192,11,2000
SRF,4.2,Chemicals,Bharuch +56 other locations,8000,174,24,2000
Jindal Stainless,4.2,Iron & Steel,Jajpur +61 other locations,9800,200,70,2000
Taj Hotels Resorts and Palaces,4.2,Management Consulting,Mumbai +99 other locations,4800,118,41,2000
Shell,4,Oil & Gas,Bangalore / Bengaluru +81 other locations,12800,191,1,2000
Himalaya Wellness,4.1,Healthcare,Bangalore / Bengaluru +209 other locations,6000,107,6,2000
Blue Star,4.1,Consumer Electronics & Appliances,Mumbai +138 other locations,9100,158,16,2000
NoBroker,3.2,Real Estate,Bangalore / Bengaluru +39 other locations,9100,226,100,2000
Movate,3.3,IT Services & Consulting,Chennai +32 other locations,13700,248,45,2000
Sonalika Tractors,3.7,Automobile,Hoshiarpur +163 other locations,8300,126,10.5,2000
Ajanta Pharma,4,Pharma,Mumbai +108 other locations,8400,112,6,2000
Simplex Infrastructures,3.3,Engineering & Construction,Kolkata +134 other locations,5800,65,60,2000
Lava International,4.1,Consumer Electronics & Appliances,Noida +216 other locations,4700,68,9,2000
V-Mart,4.2,Retail,Gurgaon / Gurugram +255 other locations,4200,144,16,2000
Xoriant,4.1,IT Services & Consulting,Pune +23 other locations,11000,180,43,2000
Cloudnine Hospital,4.4,Healthcare,Bangalore / Bengaluru +32 other locations,2500,111,1,2000
Blinkit,3.7,Internet,Gurgaon / Gurugram +73 other locations,9100,179,32,2000
Kansai Nerolac Paints,3.8,Chemicals,Mumbai +201 other locations,6800,145,11,2000
Lifestyle,4.3,Retail,Bangalore / Bengaluru +122 other locations,6800,62,2,2000
Akums Drugs & Pharmaceuticals Limited,4.4,Pharma,Haridwar +32 other locations,5900,293,13,2000
Datamatics Global Services,3.4,IT Services & Consulting,Mumbai +30 other locations,11500,156,59,1900
Mahindra Rural Housing Finance,4,NBFC,Mumbai +429 other locations,4900,82,21,1900
State Street Syntel,3.7,Financial Services,Pune +22 other locations,9200,74,22.5,1900
Aditya Birla Group,4.1,Building Material,Mumbai +230 other locations,10100,196,2,1900
suzuki motor gujarat,4.3,Automobile,Ahmedabad +105 other locations,7200,172,16,1900
Info Edge,3.9,Internet,Noida +62 other locations,10800,318,503,1900
Ola Cabs,3.4,Internet,Bangalore / Bengaluru +96 other locations,10800,142,17,1900
Foundever,3.6,BPO,Hyderabad / Secunderabad +17 other locations,7400,140,86,1900
Unacademy,3,EdTech,Bangalore / Bengaluru +65 other locations,9600,208,40,1900
Cholamandalam MS General Insurance,3.8,Insurance,Chennai +342 other locations,5800,89,41,1900
Delhi Public School,3.8,EdTech,New Delhi +248 other locations,5400,109,13,1900
Myntra,4,Internet,Bangalore / Bengaluru +100 other locations,9700,215,75,1900
Cybage,3.8,IT Services & Consulting,Pune +9 other locations,16700,196,36,1900
Eureka Forbes,3.7,Consumer Electronics & Appliances,Mumbai +166 other locations,5600,68,14.5,1900
Extramarks Education,3.4,EdTech,Noida +105 other locations,7900,168,18,1900
3i Infotech,3.5,IT Services & Consulting,Mumbai +113 other locations,10800,141,37,1900
Kalyan Jewellers,4.6,Jewellery,Thrissur +137 other locations,1400,56,14,1900
Mahindra Holidays & Resorts,3.5,Hospitality,Mumbai +101 other locations,6000,91,53,1900
Parle Agro,4.1,Beverage,Mumbai +208 other locations,6400,101,7,1900
BT Group,4,Telecom,Gurgaon / Gurugram +18 other locations,10600,177,23,1900
Ninjacart,4,Internet,Bangalore / Bengaluru +101 other locations,5800,94,5,1900
Emcure Pharmaceuticals,3.7,Pharma,Pune +101 other locations,8100,99,27,1900
Radisson Hotels,4,Management Consulting,New Delhi +111 other locations,5500,73,78,1900
ICICI Securities,3.9,Financial Services,Mumbai +131 other locations,8900,154,1,1900
Syngene International,3.9,Clinical Research,Bangalore / Bengaluru +18 other locations,11400,157,49,1900
Nokia Networks,4.3,Hardware & Networking,Chennai +80 other locations,11800,110,36,1900
Biocon Limited,3.9,Biotechnology,Bangalore / Bengaluru +57 other locations,11500,149,19,1900
Gallagher,3.8,Insurance,Bangalore / Bengaluru +23 other locations,11500,212,45,1900
JCB,4,Automobile,Pune +96 other locations,9000,121,10.5,1800
Care Health Insurance,3.6,FinTech,New Delhi +209 other locations,7900,112,55,1800
Intellect Design Arena,4,Software Product,Chennai +34 other locations,11700,157,2,1800
Google,4.4,Software Product,Bangalore / Bengaluru +79 other locations,17500,870,3,1800
Canara HSBC Life Insurance,3.7,Insurance,Gurgaon / Gurugram +267 other locations,6200,95,12,1800
Planet Spark,3.7,EdTech,Gurgaon / Gurugram +43 other locations,2900,364,62,1800
Life Insurance Corporation of India,4.4,Insurance,New Delhi +432 other locations,4400,74,4,1800
ESAF Small Finance Bank,3.8,Banking,Thrissur +328 other locations,6400,108,7,1800
Cadila Pharmaceuticals,3.5,Pharma,Ahmedabad +116 other locations,7100,117,22,1800
IntouchCX,2.9,BPO,Hyderabad / Secunderabad +18 other locations,8000,190,139,1800
Adani Power,3.9,Power,Mundra +102 other locations,8200,210,28.5,1800
upGrad,3.7,EdTech,Mumbai +41 other locations,8100,206,70,1800
Bharat Financial Inclusion,3.9,NBFC,Hyderabad / Secunderabad +384 other locations,4200,66,10,1800
GlaxoSmithKline Pharmaceuticals,4.1,Pharma,Bangalore / Bengaluru +190 other locations,5400,103,53,1800
Indian Railways,4.1,Railways,Kolkata +217 other locations,3500,83,32,1800
DBS Bank,3.8,Banking,Hyderabad / Secunderabad +151 other locations,12100,154,121,1800
Star Health & Allied Insurance,3.7,Insurance,Chennai +277 other locations,8100,103,17,1800
RMSI,3.6,IT Services & Consulting,Hyderabad / Secunderabad +18 other locations,7800,115,23,1800
Sobha,3.9,Real Estate,Bangalore / Bengaluru +35 other locations,7900,124,49,1800
Photon Interactive,4,IT Services & Consulting,Chennai +12 other locations,6800,105,277,1800
Sopra Steria,3.8,IT Services & Consulting,Noida +16 other locations,13400,125,182,1800
Reliance Trends,4.3,Retail,Bangalore / Bengaluru +353 other locations,4400,101,22,1800
Whirlpool,4,Consumer Electronics & Appliances,Pune +146 other locations,7800,92,3,1800
Cisco,4.1,Hardware & Networking,Bangalore / Bengaluru +36 other locations,17300,396,42,1800
Pfizer,4,Pharma,Visakhapatnam +116 other locations,5800,69,28,1800
Aavas Financiers,3.9,NBFC,Jaipur +251 other locations,5600,85,67,1800
Renault-Nissan,4.2,Automobile,Chennai +78 other locations,7500,101,10.5,1700
Hero FinCorp,4,NBFC,New Delhi +349 other locations,5000,87,36,1700
Bharti AXA Life Insurance,3.9,Insurance,Mumbai +224 other locations,5100,117,6,1700
Shahi Exports,4,Fashion & Textile,Bangalore / Bengaluru +61 other locations,6800,99,55,1700
Raymond Lifestyle Limited,4.1,Fashion & Textile,Mumbai +131 other locations,6900,88,3,1700
Bureau Veritas,3.9,Other,Noida +118 other locations,7600,107,20,1700
Straive,3.4,Analytics & KPO,Chennai +25 other locations,9100,171,35,1700
GVK Emergency Management and Research Institute,3.6,EdTech,Lucknow +167 other locations,4300,82,7,1700
Endurance Technologies,3.9,Auto Components,Aurangabad +44 other locations,7400,100,3,1700
Ambuja Cements,3.9,Building Material,Mumbai +215 other locations,6000,107,2,1700
Rivigo,3.9,Internet,Gurgaon / Gurugram +152 other locations,6200,72,32,1700
Lodha Group,4,Real Estate,Mumbai +22 other locations,7900,122,129,1700
Optum Global Solutions,4.1,IT Services & Consulting,Hyderabad / Secunderabad +14 other locations,9600,177,69,1700
Kia Motors,3.9,Automobile,Anantapur +154 other locations,7400,129,1,1700
Bharat Petroleum,4.2,Oil & Gas,Mumbai +236 other locations,6500,155,17.5,1700
HSBC Electronic Data Processing,4.1,Banking,Bangalore / Bengaluru +17 other locations,8800,57,2,1700
Alldigi Tech,3.8,BPO,Chennai +30 other locations,6900,120,28,1700
BHEL,4.1,Electrical Equipment,Bangalore / Bengaluru +100 other locations,5200,109,30,1700
Force Motors,3.6,Automobile,Pune +87 other locations,7900,116,1,1700
Future Retail,4.3,Retail,Mumbai +197 other locations,5400,53,22,1700
Niva Bupa Health Insurance Company,3.7,Insurance,New Delhi +207 other locations,7200,115,26,1700
Tata Advanced Systems,3.7,Defence & Aerospace,Bangalore / Bengaluru +42 other locations,10300,128,6,1700
Renault Nissan Technology & Business Centre India,3.8,Automobile,Chennai +15 other locations,13600,122,34,1700
Senco Gold,4.5,Jewellery,Kolkata +69 other locations,1300,535,7,1700
Poonawalla Fincorp,3.8,NBFC,Pune +250 other locations,5000,56,16,1700
Panasonic Life Solutions India,4.1,Consumer Electronics & Appliances,Haridwar +131 other locations,5900,68,14,1700
CAMS,3.7,Financial Services,Chennai +93 other locations,7600,111,21,1700
Meesho,3.7,Internet,Bangalore / Bengaluru +103 other locations,7300,329,158,1700
Henry Harvin Education,3.9,EdTech,Noida +27 other locations,736,12,43,1700
ValueLabs,3.7,IT Services & Consulting,Hyderabad / Secunderabad +16 other locations,14800,191,104,1700
Bank of Baroda,3.6,Banking,Mumbai +266 other locations,6300,103,1,1700
Laurus Labs,4.2,Pharma,Visakhapatnam +20 other locations,6800,105,7,1700
Coromandel International,4.1,Agro Chemicals,Visakhapatnam +156 other locations,6900,95,26,1700
Apollo Pharmacy,3.9,Pharma,Hyderabad / Secunderabad +228 other locations,5600,116,11,1700
GAO Tek,4.5,Electrical Equipment,New York +27 other locations,207,148,13,1700
Cargill,4,Food Processing,Bangalore / Bengaluru +101 other locations,7500,94,81,1700
Microsoft Corporation,4,Software Product,Bangalore / Bengaluru +40 other locations,21200,575,31.5,1600
Delphi TVS,3.9,Auto Components,Chennai +46 other locations,5500,82,1,1600
Brakes India,4,Auto Components,Chennai +79 other locations,6700,70,2,1600
American Broadcasting Company,4,Media & Entertainment,Mumbai +99 other locations,22800,547,2,1600
Adani Wilmar,4.2,FMCG,Ahmedabad +170 other locations,6300,103,14,1600
Future Generali India Life Insurance,3.7,Insurance,Mumbai +174 other locations,6500,91,149,1600
TCE,3.8,Engineering & Construction,Mumbai +113 other locations,7700,244,72,1600
Sagility,3.9,BPO,Bangalore / Bengaluru +22 other locations,7400,160,43,1600
SAP,4.2,Software Product,Bangalore / Bengaluru +50 other locations,14500,308,274,1600
ITC Hotels,4.1,Management Consulting,Bangalore / Bengaluru +78 other locations,5400,81,278,1600
Sify Technologies,3.9,IT Services & Consulting,Chennai +114 other locations,9400,121,25,1600
Dhani Loans and Services,3.8,NBFC,Gurgaon / Gurugram +179 other locations,5100,69,1,1600
Tata Motors Finance,4.1,NBFC,Mumbai +237 other locations,4500,64,1,1600
Wipro Enterprises Ltd,3.8,FMCG,Bangalore / Bengaluru +198 other locations,7100,154,90,1600
Allstate,3.9,Insurance,Pune +10 other locations,10800,131,30,1600
KENT RO Systems,4,Consumer Electronics & Appliances,Noida +139 other locations,4600,77,3,1600
Exl India,3.5,Logistics,New Delhi +28 other locations,11200,100,1,1600
CitiusTech,3.4,IT Services & Consulting,Mumbai +17 other locations,12700,267,8,1600
Aditya Birla Capital,3.9,Financial Services,Mumbai +222 other locations,8000,147,22.5,1600
Star Union Dai-ichi Life Insurance,3.9,Insurance,Mumbai +264 other locations,4800,86,71,1600
SBI Securities,3.8,Financial Services,Mumbai +250 other locations,6000,143,82,1600
Spark Minda,3.9,Auto Components,Pune +60 other locations,6200,119,4,1600
SBI General Insurance,3.7,Insurance,Mumbai +238 other locations,5800,97,26,1600
YASH Technologies,3.8,IT Services & Consulting,Hyderabad / Secunderabad +24 other locations,15600,142,363,1600
Ola Electric Mobility,3.3,Automobile,Bangalore / Bengaluru +232 other locations,7400,208,10.5,1600
Kotak Securities,3.6,Financial Services,Mumbai +123 other locations,8700,113,22,1600
Gabriel India,4.1,Auto Components,Hosur +43 other locations,5500,95,5,1600
Matrimony.com,4.3,Internet,Chennai +57 other locations,4400,89,28,1600
L&T Energy Hydrocarbon,3.9,Engineering & Construction,Vadodara +75 other locations,8200,92,1,1600
NeoSOFT,4,IT Services & Consulting,Mumbai +20 other locations,9300,260,17,1600
AECOM,4.3,Engineering & Construction,Gurgaon / Gurugram +113 other locations,6200,111,112,1600
Sterling & Wilson,4.1,Engineering & Construction,Mumbai +104 other locations,7800,63,2,1600
Power Mech Projects,3.9,Engineering & Construction,Hyderabad / Secunderabad +125 other locations,6300,93,5,1600
IDBI Bank,3.5,Banking,Mumbai +298 other locations,5800,67,68,1600
Crisil,3.7,Analytics & KPO,Mumbai +64 other locations,11300,185,432,1600
JK Tyres,3.7,Auto Components,Chennai +131 other locations,6500,91,5,1600
Physicswallah,3.8,EdTech,Noida +87 other locations,5100,191,28,1600
Parle Products,3.9,FMCG,Mumbai +212 other locations,4100,88,7,1600
Lucas-TVS,4,Auto Components,Chennai +66 other locations,5800,71,3,1500
Saint-Gobain,4,Engineering & Construction,Mumbai +93 other locations,9700,171,45,1500
Novartis,4.1,Pharma,Hyderabad / Secunderabad +70 other locations,8600,140,252,1500
Uflex,3.8,Packaging,Noida +43 other locations,6500,104,49,1500
Adani Group,3.9,Power,Ahmedabad +151 other locations,8700,178,246,1500
Thomson Reuters,4.1,Software Product,Bangalore / Bengaluru +24 other locations,10100,112,2,1500
Reliance General Insurance,3.7,Insurance,Mumbai +179 other locations,6800,79,41,1500
Hindustan Aeronautics,4.3,Defence & Aerospace,Bangalore / Bengaluru +48 other locations,4200,72,130,1500
Paisabazaar.com,3.5,Internet,Gurgaon / Gurugram +26 other locations,6600,138,45,1500
Mercedes-Benz Research and Development India,3.9,IT Services & Consulting,Bangalore / Bengaluru +46 other locations,15200,188,117,1500
Vedantu,3.4,EdTech,Bangalore / Bengaluru +62 other locations,9100,192,19,1500
Safexpress,4,Logistics,New Delhi +147 other locations,5400,97,2,1500
Microland,3.5,IT Services & Consulting,Bangalore / Bengaluru +42 other locations,10800,124,299,1500
SGS,3.9,Other,Mumbai +121 other locations,6000,91,18,1500
Team Computers,3.6,IT Services & Consulting,New Delhi +90 other locations,7900,89,37,1500
Dr Lal PathLabs,4.2,Healthcare,New Delhi +163 other locations,4300,123,29,1500
Philips,3.9,Consumer Electronics & Appliances,Bangalore / Bengaluru +84 other locations,10100,156,50,1500
Nuvoco Vistas,4.1,Building Material,Kolkata +163 other locations,6100,90,15,1500
Morgan Stanley,3.7,Financial Services,Mumbai +17 other locations,20400,306,8,1500
G R Infraprojects,4.1,Engineering & Construction,Gurgaon / Gurugram +140 other locations,5200,130,24,1500
NCR Voyix,3.9,Software Product,Hyderabad / Secunderabad +85 other locations,8100,124,36,1500
Narayana Health,4.1,Healthcare,Bangalore / Bengaluru +61 other locations,5600,61,45,1500
TaskUs,3.4,BPO,Indore +29 other locations,6800,171,80,1500
Frankfinn Institute of Air Hostess Training,4,Education & Training,Gurgaon / Gurugram +60 other locations,3300,99,17,1500
café Coffee day,3.8,Hospitality,Bangalore / Bengaluru +98 other locations,4100,59,7,1500
Biological E,4.2,Pharma,Hyderabad / Secunderabad +58 other locations,6400,108,12,1500
BNP Paribas,3.8,Financial Services,Mumbai +24 other locations,14300,176,22,1500
Aragen Life Sciences,4,Clinical Research,Hyderabad / Secunderabad +22 other locations,6000,102,12,1500
TVS Sundram Fasteners,3.7,Auto Components,Chennai +52 other locations,6700,70,5,1500
Honda Cars,4.4,Automobile,Bhiwadi +102 other locations,6300,87,10.5,1500
Honeywell Automation,3.8,Industrial Automation,Pune +69 other locations,10900,104,436,1500
Tata Teleservices,4,Telecom,Mumbai +135 other locations,4000,30,38,1500
Taurus BPO Services,4.5,BPO,Pune +15 other locations,824,25,82,1500
FirstCry,3.7,Internet,Pune +167 other locations,7900,164,20,1500
NTPC,4.2,Power,New Delhi +106 other locations,4000,159,28.5,1500
Angel One,3.9,FinTech,Mumbai +117 other locations,7100,131,83,1500
HCL Infosystems,3.9,IT Services & Consulting,Bangalore / Bengaluru +105 other locations,8600,141,69,1500
SS&C TECHNOLOGIES,3.4,IT Services & Consulting,Mumbai +28 other locations,12300,167,74,1500
Medi Assist India,3.6,Insurance,Bangalore / Bengaluru +57 other locations,6900,113,39,1500
Daikin,4.2,Consumer Electronics & Appliances,Neemrana +95 other locations,6500,143,2,1500
NEC,4.4,IT Services & Consulting,Noida +49 other locations,5500,70,7,1500
Fusion CX,3.5,IT Services & Consulting,Kolkata +45 other locations,4100,98,108,1500
Iris Software,4,IT Services & Consulting,Noida +19 other locations,6800,139,37,1500
V-Guard Industries,4.4,Consumer Electronics & Appliances,Kochi +142 other locations,4000,61,20,1500
Indian Navy,4.6,Defence & Aerospace,Mumbai +66 other locations,3500,21,130,1500
MetLife,4.2,Insurance,Noida +40 other locations,7900,84,26,1500
R.R. Donnelley,3.9,Marketing & Advertising,Chennai +15 other locations,9300,99,19,1500
BA Continuum,4.2,NBFC,Hyderabad / Secunderabad +17 other locations,9900,98,26,1400
CMS Infosystems,3.6,Other,Mumbai +181 other locations,4500,50,20,1400
Adecco Group,3.7,Management Consulting,Bangalore / Bengaluru +148 other locations,6500,87,12,1400
Tata Play,4,Broadcasting,Mumbai +207 other locations,4800,70,4,1400
Infinite Computer Solutions,3.4,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,12300,138,201,1400
Innovsource Services,4,Recruitment,Mumbai +210 other locations,4500,61,1,1400
Trident Group,3.5,Fashion & Textile,Ludhiana +51 other locations,5200,111,5,1400
Globiva,3.1,BPO,Gurgaon / Gurugram +20 other locations,4700,102,28,1400
Torrent Power,3.7,Power,Ahmedabad +44 other locations,7000,125,40,1400
Honda,4.2,Automobile,Gurgaon / Gurugram +208 other locations,4900,99,3,1400
AXA Business Services,3.9,Insurance,Pune +9 other locations,6900,74,61,1400
PI Industries,4,Agro Chemicals,Bharuch +92 other locations,6400,104,11,1400
Haier Appliances India,4,Consumer Electronics & Appliances,Pune +116 other locations,6400,120,23,1400
Infinx,4.1,Software Product,Hyderabad / Secunderabad +30 other locations,4500,183,18,1400
Motherson Automotive Technologies and Engineering,3.8,Auto Components,Chennai +59 other locations,6800,111,9,1400
Chegg,4.1,EdTech,New Delhi +63 other locations,3900,154,16,1400
Metro Cash & Carry,4.1,Retail,Bangalore / Bengaluru +84 other locations,4900,57,22,1400
Altruist Technologies,3.1,BPO,Bangalore / Bengaluru +39 other locations,7400,126,3,1400
Reckitt Benckiser,4,FMCG,Gurgaon / Gurugram +114 other locations,6000,86,22,1400
DHL Supply Chain,4.2,Logistics,Mumbai +80 other locations,5400,80,19,1400
USV,4,Pharma,Mumbai +95 other locations,5200,71,21,1400
Dainik Bhaskar Group,4.4,Printing & Publishing,Bhopal +141 other locations,4400,56,60,1400
USHA International,4.1,Consumer Electronics & Appliances,Gurgaon / Gurugram +123 other locations,4700,87,15,1400
Jindal Saw,4,Iron & Steel,Mundra +67 other locations,6000,97,1,1400
CMA CGM,3.9,Ports & Shipping,Chennai +27 other locations,8200,91,13,1400
Tata Communications Transformation Services,4,Telecom,Pune +86 other locations,8300,80,50,1400
Foxconn,3.9,Electronics Manufacturing,Chennai +45 other locations,7600,146,30,1400
Aadhar Housing Finance,4.1,Financial Services,Mumbai +277 other locations,4100,87,4,1400
FactSet,3.9,Financial Services,Hyderabad / Secunderabad +16 other locations,9200,207,44,1400
HTC Global Services,3.6,IT Services & Consulting,Chennai +27 other locations,11500,131,67,1400
BT Business,4.1,Hardware & Networking,Gurgaon / Gurugram +10 other locations,8900,77,36,1400
PHN Technology,4.5,IT Services & Consulting,Pune +30 other locations,299,29,12,1400
Exela Technologies,3.3,IT Services & Consulting,Chennai +20 other locations,7700,77,16,1400
Wockhardt,3.9,Pharma,Aurangabad +78 other locations,4400,51,7,1400
KONE,4.2,Industrial Machinery,Chennai +65 other locations,5400,99,34,1400
First American Corporation,3.6,Insurance,Bangalore / Bengaluru +16 other locations,8300,74,35,1400
Tata Power,3.9,Power,Mumbai +129 other locations,6500,160,14,1400
HERE Technologies,3.9,IT Services & Consulting,Mumbai +14 other locations,7300,86,34,1400
Cavinkare,4,FMCG,Chennai +157 other locations,4800,55,2,1400
DHL Express,4.1,Logistics,Mumbai +88 other locations,6100,61,5,1400
Johnson & Johnson,4.1,Healthcare,Mumbai +150 other locations,5900,93,7,1400
Manipal Hospitals,4.2,Healthcare,Bangalore / Bengaluru +61 other locations,5600,80,69,1300
XL Dynamics,3.2,IT Services & Consulting,Mumbai +28 other locations,3400,106,6,1300
DIVI'S Laboratories,3.8,Pharma,Visakhapatnam +27 other locations,6300,71,25,1300
Verizon,4.1,Telecom,Hyderabad / Secunderabad +9 other locations,10400,112,143,1300
EPAM Systems,3.8,IT Services & Consulting,Hyderabad / Secunderabad +22 other locations,13400,534,866,1300
Newgen Software Technologies,3.7,IT Services & Consulting,Noida +28 other locations,10400,183,19,1300
Isgec Heavy Engineering,3.8,Industrial Machinery,Noida +77 other locations,6600,114,21,1300
Arvind Group,4,Fashion & Textile,Ahmedabad +83 other locations,5400,61,2,1300
Procter & Gamble,4.2,FMCG,Mumbai +224 other locations,5500,113,16,1300
Hindustan Petroleum,4.2,Oil & Gas,Mumbai +213 other locations,5600,97,17.5,1300
Mother Dairy Fruit & Vegetable,4.1,Food Processing,New Delhi +117 other locations,4600,71,1,1300
Yamaha Motor,4.2,Automobile,Chennai +135 other locations,5300,64,27,1300
HighRadius,2.9,FinTech,Hyderabad / Secunderabad +13 other locations,7100,181,59,1300
Orange Business,4.3,IT Services & Consulting,Gurgaon / Gurugram +47 other locations,8800,96,71,1300
Polycab Wires,4,Electrical Equipment,Vadodara +134 other locations,6100,91,44,1300
Jio Platforms,3.5,IT Services & Consulting,Mumbai +80 other locations,9700,192,69,1300
Trent,4,Retail,Mumbai +117 other locations,3900,74,22,1300
Spinny,3.7,Internet,Gurgaon / Gurugram +47 other locations,6000,165,9,1300
HDFC Securities,3.6,Banking,Mumbai +170 other locations,5600,102,47,1300
Tata Group,4.2,IT Services & Consulting,Mumbai +163 other locations,5400,358,1,1300
Shadowfax Technologies,3.6,Logistics,Bangalore / Bengaluru +184 other locations,5800,115,10,1300
Sheenlac Paints,4.5,Chemicals,Chennai +157 other locations,1600,203,17.5,1300
Honeywell Technology Solutions,3.8,Defence & Aerospace,Bangalore / Bengaluru +19 other locations,11900,149,254,1300
Oracle Cerner,3.7,Software Product,Bangalore / Bengaluru +6 other locations,10700,157,31.5,1300
Bata,3.7,Fashion & Textile,Gurgaon / Gurugram +132 other locations,4000,59,6,1300
Big Bazaar,4.3,Retail,New Delhi +157 other locations,3600,43,22,1300
Relaxo Footwear,4.2,Fashion & Textile,New Delhi +136 other locations,4200,81,45,1300
Medanta the Medicity,4.1,Healthcare,Gurgaon / Gurugram +36 other locations,4600,92,58,1300
Vardhman Fabrics,4,Fashion & Textile,Baddi +51 other locations,5100,60,26,1300
Security and Intelligence Services (India),4.2,Law Enforcement & Security,New Delhi +167 other locations,4100,55,295,1300
AkzoNobel,4.1,Chemicals,Pune +137 other locations,4000,62,9,1300
